productId:int,menu,category,subCategory,productName,price:int,cost:int,profit:int
1,ディナーメニュー,メイン料理,肉料理,ポークチョップ,3000,1200,1800
2,ディナーメニュー,メイン料理,肉料理,サーロインステーキ,4500,1800,2700
3,ディナーメニュー,メイン料理,肉料理,グリルチキン,2500,1000,1500
4,ディナーメニュー,メイン料理,肉料理,ラムチョップ,4200,1680,2520
5,ディナーメニュー,メイン料理,肉料理,ローストビーフ,3800,1520,2280
6,ディナーメニュー,メイン料理,肉料理,スペアリブ,3200,1280,1920
7,ディナーメニュー,メイン料理,魚料理,サーモングリル,2800,1120,1680
8,ディナーメニュー,メイン料理,魚料理,マグロステーキ,3400,1360,2040
9,ディナーメニュー,メイン料理,魚料理,エビ天ぷら,2600,1040,1560
10,ディナーメニュー,メイン料理,魚料理,鯖の味噌煮,2000,800,1200
11,ディナーメニュー,メイン料理,カレー料理,チキンカレー,2000,800,1200
12,ディナーメニュー,メイン料理,カレー料理,ベジタブルカレー,1500,600,900
13,ディナーメニュー,メイン料理,カレー料理,ビーフカレー,2200,880,1320
14,ディナーメニュー,メイン料理,カレー料理,シーフードカレー,2400,960,1440
15,ディナーメニュー,メイン料理,カレー料理,キーマカレー,2100,840,1260
16,ディナーメニュー,メイン料理,パスタ料理,ボロネーゼ,1900,760,1140
17,ディナーメニュー,メイン料理,パスタ料理,カルボナーラ,2000,800,1200
18,ディナーメニュー,メイン料理,パスタ料理,シーフードパスタ,2300,920,1380
19,ディナーメニュー,サラダ,野菜サラダ,シーザーサラダ,1200,480,720
20,ディナーメニュー,サラダ,野菜サラダ,ギリシャサラダ,1100,440,660
21,ディナーメニュー,サラダ,野菜サラダ,ミックスグリーンサラダ,1000,400,600
22,ディナーメニュー,サラダ,穀物サラダ,キヌアサラダ,1300,520,780
23,ディナーメニュー,デザート,ケーキ,チーズケーキ,900,360,540
24,ディナーメニュー,デザート,ケーキ,チョコレートラバケーキ,1000,400,600
25,ディナーメニュー,ドリンク,アルコール,ビール,1000,400,600
26,ディナーメニュー,ドリンク,アルコール,赤ワイン,1500,600,900
27,ディナーメニュー,ドリンク,アルコール,白ワイン,1500,600,900
28,ディナーメニュー,ドリンク,アルコール,ウイスキー,1200,480,720
29,ディナーメニュー,ドリンク,ソフトドリンク,コーラ,600,240,360
30,ディナーメニュー,ドリンク,ソフトドリンク,オレンジジュース,600,240,360
31,ランチメニュー,メイン料理,肉料理,ポークカツ定食,1500,600,900
32,ランチメニュー,メイン料理,肉料理,チキン照り焼き,1300,520,780
33,ランチメニュー,メイン料理,肉料理,ハンバーグランチ,1400,560,840
34,ランチメニュー,メイン料理,肉料理,フライドチキンプレート,1200,480,720
35,ランチメニュー,メイン料理,肉料理,ミートボールスパゲティ,1300,520,780
36,ランチメニュー,メイン料理,魚料理,サーモン塩焼き定食,1600,640,960
37,ランチメニュー,メイン料理,魚料理,エビ天丼,1500,600,900
38,ランチメニュー,メイン料理,魚料理,鯖味噌煮ランチ,1200,480,720
39,ランチメニュー,メイン料理,魚料理,フィッシュ＆チップス,1400,560,840
40,ランチメニュー,メイン料理,魚料理,マグロステーキランチ,1700,680,1020
41,ランチメニュー,メイン料理,カレー料理,チキンカレーランチ,1000,400,600
42,ランチメニュー,メイン料理,カレー料理,野菜カレーランチ,900,360,540
43,ランチメニュー,メイン料理,カレー料理,キーマカレーランチ,1100,440,660
44,ランチメニュー,メイン料理,カレー料理,ビーフカレーランチ,1200,480,720
45,ランチメニュー,メイン料理,カレー料理,シーフードカレーランチ,1300,520,780
46,ランチメニュー,メイン料理,パスタ料理,トマトパスタ,1000,400,600
47,ランチメニュー,メイン料理,パスタ料理,カルボナーラ（ランチ）,1100,440,660
48,ランチメニュー,メイン料理,パスタ料理,ペストパスタ,1100,440,660
49,ランチメニュー,メイン料理,パスタ料理,シーフードパスタランチ,1300,520,780
50,ランチメニュー,メイン料理,パスタ料理,ベーコンとほうれん草パスタ,1200,480,720
51,ランチメニュー,サラダ,野菜サラダ,シーザーサラダ（ランチ）,800,320,480
52,ランチメニュー,サラダ,穀物サラダ,キヌアサラダ（ランチ）,900,360,540
53,ランチメニュー,サラダ,野菜サラダ,ギリシャサラダ（ランチ）,800,320,480
54,ランチメニュー,サラダ,野菜サラダ,コールスローサラダ,700,280,420
55,ランチメニュー,サラダ,たんぱく質サラダ,チキンブレストサラダ,1000,400,600
56,ランチメニュー,ドリンク,ソフトドリンク,アイスティー,400,160,240
57,ランチメニュー,ドリンク,ソフトドリンク,レモネード,400,160,240
58,ランチメニュー,ドリンク,ソフトドリンク,コーヒー,500,200,300
59,ランチメニュー,ドリンク,ソフトドリンク,緑茶,400,160,240
60,ランチメニュー,ドリンク,ソフトドリンク,アップルジュース,400,160,240
